search_keyword,brand,name,product_url,image_url,original_price,discounted_price,rating,reviews,available_sizes,breadcrumb
oversized t-shirt,RARE ONES,Rare Ones Boys Oversized Graphic Print T-Shirt,https://www.myntra.com/tshirts/rare+ones/rare-ones-boys-oversized-graphic-print-t-shirt/31461278/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/31/Y3R7x3Vn_6d717161d99d48a18a903ff9e5323597.jpg",MRP ₹1299,₹909,"4.7
|
37 Ratings",Very mnice cloth. Si smooth | Smooth as silk such a fantastic fabric and color | Very good,9-10Y (In Stock); 10-11Y (In Stock); 11-12Y (In Stock); 13-14Y (In Stock),
oversized t-shirt,Bewakoof,x Official Marvel Merchandise The King Graphic Printed Oversized Vest,https://www.myntra.com/tshirts/bewakoof/bewakoof-x-official-marvel-merchandise-the-king-graphic-printed-oversized-vest/22534898/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22534898/2023/3/28/7ff6c7c4-a719-44ba-a136-bcc8ca0b06841679995153490Tshirts1.jpg",MRP ₹1449,₹549,"4.6
|
461 Ratings","Good Quality Product, Cotton material perfect for summers, exercise. Size is great. Print and color Quality is great. Value for money . | The quality is Top notch the flow on body is amazing 🤩 for 6.1 to 6.2 height recommended is XL of you are not Fully skinny.",S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock),
oversized t-shirt,NOBERO,Typography Printed Pure Cotton Drop-Shoulder Sleeves Oversized T-shirt,https://www.myntra.com/tshirts/nobero/nobero-typography-printed-pure-cotton-drop-shoulder-sleeves-oversized-t-shirt/27486510/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/27486510/2024/4/18/70a5615e-783c-471e-ad38-1bdaddc00d311713414775633-NOBERO-Typography-Printed-Pure-Cotton-Drop-Shoulder-Sleeves--7.jpg",MRP ₹1799,₹499,"4.2
|
280 Ratings",Quality i love ... It is a beautiful product..i love it | Very soft fabric and the comfortable feeling. It looks exactly as shown in the image | Pretty much u get wut u expect...it's as good as I was hoping for it to be 👌👍,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock); 3XL (In Stock),
oversized t-shirt,RARE ONES,Rare Ones Boys Graphic Back Print Oversized T-shirt,https://www.myntra.com/tshirts/rare+ones/rare-ones-boys-graphic-back-print-oversized-t-shirt/30889844/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/6/JXOazrxU_2f41f91d7cca4de2adefdbbce7c546ce.jpg",MRP ₹1699,₹1359,N/A,No reviews,6-7Y (In Stock); 8-9Y (In Stock); 9-10Y (In Stock); 10-11Y (In Stock); 11-12Y (In Stock); 13-14Y (In Stock); 15-16Y (In Stock),
oversized t-shirt,NOBERO,Graphic Printed Oversized T-shirt,https://www.myntra.com/tshirts/nobero/nobero-graphic-printed-oversized-t-shirt/26858810/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26858810/2024/3/19/038d09b0-220e-488d-8707-d0b6c1b769991710836863241-NOBERO-Graphic-Printed-Oversized-T-shirt-6021710836863167-7.jpg",MRP ₹1799,₹485,"4.4
|
4.1k Ratings","This maroon round neck t-shirt is a great addition to any casual wardrobe. The fit is excellent, offering a comfortable and flattering look. The color is rich and vibrant, adding a stylish touch to casual outfits. It’s perfect for everyday wear, and the fabric feels soft and durable. Overall, it looks great and is a solid choice for anyone looking for a versatile, casual t-shirt. | Fabric of the tshirt is too much good and fits as well. Color of tshirt is bright and looks cool. Print also good not faded. It fits me verywell and looks beautiful on me. For down shoulder tshirt everybody must try this . So overall I must recommend this product.",S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock); 3XL (In Stock),
oversized t-shirt,Roadster,The Lifestyle Co. Drop-Shoulder Sleeves Oversized T-shirt,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-drop-shoulder-sleeves-oversized-t-shirt/28583622/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28583622/2024/8/24/a2713168-69a3-4d90-9617-ccedc148a75a1724480835747-Roadster-Men-Tshirts-1491724480835209-1.jpg",MRP ₹699,₹251,"4.1
|
64 Ratings",Its too baggy and loose... I have ordered 1 size down than what i wear usually but still it feels very loose | It's good but the drawback is not meant for people who has broad shoulder | Size ia too big i order S but the size is L this is little dissopointing soo pls fixx itt but the quality of material us very nice at this price point product ia very nice but size problem h,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock),
sneakers,Nike,Air Jordan 1 Low Men Shoes,https://www.myntra.com/casual-shoes/nike/nike-air-jordan-1-low-men-shoes/34951262/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JUNE/17/v2qsSi4N_69e5ca4f0bec4ffdac66ba2c4b7b1f8b.jpg",MRP,MRP₹ 8995,"4.7
|
18 Ratings",Cool,6 (In Stock); 7 (In Stock); 8 (In Stock); 10 (In Stock); 11 (In Stock); 12 (In Stock),
sneakers,Aretto,Kids Candy Floss Adaptive Fit Breathable Slip-On Sneakers with Anti-Skid Sole,https://www.myntra.com/casual-shoes/aretto/aretto-kids-candy-floss-adaptive-fit-breathable-slip-on-sneakers-with-anti-skid-sole/25243360/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25243360/2025/1/15/fdac23f0-3253-47a2-8572-7e2246af2ad11736933181783-Aretto-Kids-Colourblocked-Anti-Skid--Enhanced-Slip-On-Shoes--1.jpg",MRP ₹2899,₹2609,"4.5
|
222 Ratings","These toddler shoes offer exceptional comfort, breathability, and flexibility, making them ideal for active little ones. The bendable soles mimic natural foot movement, promoting healthy development, while the non-skid design enhances safety by preventing slips. Toddlers can easily remove the shoes independently; however, they may require assistance when putting them on. The high-quality materials and construction suggest impressive durability, ensuring they withstand the rigors of daily toddler activities. | I bought Aretto shoes after hearing good reviews about their shoes. And after using it for 2 weeks now I do feel it's worth buying. Their front wide toe box , durable material used , stretchable quality is perfect for kids with growing feet. My 17months feel comfortable wearing these shoes. Highly recommended for parents to try!!",1-2Y (In Stock); 2-3Y (In Stock); 3-4Y (In Stock); 6-8Y (In Stock); 9-10Y (In Stock),
sneakers,HRX by Hrithik Roshan,Unisex Back To School Shoes,https://www.myntra.com/casual-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-unisex-back-to-school-shoes/29553912/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29553912/2024/5/17/5f90bc0f-c248-4bff-8a88-54128a77c4a61715927218769HRXbyHrithikRoshanUnisexTexturedSneakers1.jpg",MRP ₹3699,₹850,"4.3
|
1.3k Ratings","I recently purchased a pair of HRX shoes from Myntra, and I must say, I’m thoroughly impressed! From the moment I unboxed them, the sleek design and premium finish caught my attention. What I Loved: ✔ Comfort – The cushioning is excellent, providing great support for long walks and workouts. ✔ Stylish Design – The trendy look makes it perfect for both casual wear and sports activities. ✔ Lightweight & Durable – Feels super light on the feet while being sturdy enough for daily use. ✔ Perfect Fit – True to size with a snug yet breathable fit. Overall, HRX shoes offer amazing value for money. Whether you're hitting the gym, going for a run, or just want a stylish everyday pair, these shoes won’t disappoint! Highly recommended! | I work as a sales man at a petrol pump. My duty is for about 8 hours in which I have to stand. It is very important for my feet to be comfortable during that time, otherwise I may get injured.Keeping that in mind, one day I saw these shoes on Myntra. And I wanted black shoes only. I liked their design very much and ordered them. I have been wearing them for almost 2 months. I am very happy | My son bought these and has been using them for over a month and he loves them. He uses 11 size and has a broad foot so difficult to get a good comfort fit. He loves theses shoes as they are very comfortable and for daily rough and tough use. He rides a bike and the shoe top is not damaged with the bike gear unlike other shoes. So I'm buying one for my husband too. Thank you",3 (In Stock); 4 (In Stock); 5 (In Stock); 6 (In Stock); 7 (In Stock); 8 (In Stock); 9 (In Stock); 10 (In Stock); 11 (In Stock),
sneakers,YK,Girls Black Textured Contrast Sole Comfort Insole Flyknit Slip-On Sneakers,https://www.myntra.com/casual-shoes/yk/yk-girls-black-textured-contrast-sole-comfort-insole-flyknit-slip-on-sneakers/26651886/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26651886/2023/12/26/94ee27af-8c33-4eea-abae-029cb2025c8e1703580219796YKGirlsBlueColourblockedSlip-OnSneakers1.jpg",MRP ₹1999,₹539,"4.4
|
1.1k Ratings","Good looking, fair colour , super comfort. | The product is exactly the same as shown in the picture, very cute and comfortable. I highly recommend this if you are looking for something cute comfortable and affordable for your kid | Shopping at myntra was an amazing experience. The quality of the clothes, designs, and varieties are so trendy. The customer service is amazing, and delivery is hassle-free!",18-21M (In Stock); 21-24M (In Stock); 2-2.5Y (In Stock); 2.5-3Y (In Stock); 3-3.5Y (In Stock); 3.5-4Y (In Stock); 4-4.5Y (In Stock); 4.5-5Y (In Stock); 5-6Y (In Stock); 7.5-8Y (In Stock); 8.5-9Y (In Stock); 9-10Y (In Stock); 10.5-11Y (In Stock); 11-12Y (In Stock),
