search_keyword,brand,name,product_url,image_url,original_price,discounted_price,rating,reviews,available_sizes,breadcrumb
blue linen pants,PAUL STREET,Men Solid Regular Fit Linen Trousers,https://www.myntra.com/trousers/paul+street/paul-street-men-solid-regular-fit-linen-trousers/30713901/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/AUGUST/24/BIH6grU7_8206870903514b54922eb05bf9d079b7.jpg",MRP ₹2795,₹1199,"3.7
|
35 Ratings","It has comfortable fabric as well as decent fitting after 10 wash also, I don't have any issue of colour fading. | The classic fit is slightly short, but it’s definitely worth it. Go for it!",30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock); 38 (In Stock),
blue linen pants,Big Bunny,Men Custom Opaque Casual Shirt,https://www.myntra.com/shirts/big+bunny/big-bunny-men-custom-opaque-casual-shirt/32916628/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/FEBRUARY/25/WMJmlaFS_5c62ca4e6998411d99110a8f9bdb78b3.jpg",MRP ₹2255,₹699,"3
|
6 Ratings","Good fit & fabric quality, perfect to wear it as summer outfit.",40 (In Stock); 42 (In Stock); 44 (In Stock); 48 (In Stock); 50 (In Stock),
blue linen pants,CAVALLO by Linen Club,Men Contemporary Slim Fit Opaque Striped Casual Shirt,https://www.myntra.com/shirts/cavallo+by+linen+club/cavallo-by-linen-club-men-contemporary-slim-fit-opaque-striped-casual-shirt/30189135/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30189135/2024/JULY/11/mRj3t4k7_409f0b5507ac4e6a80fbfb357105433c.jpg",MRP ₹1999,₹899,N/A,Fine quality ☺️,39 (In Stock); 40 (In Stock); 42 (In Stock); 44 (In Stock); 46 (In Stock),
blue linen pants,Powerlook,Navy Linen Pant,https://www.myntra.com/trousers/powerlook/powerlook-navy-linen-pant/33070212/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/MARCH/5/elVECs4f_69da41391ffd458eb105c5a308556864.jpg",MRP ₹2699,₹1052,"3.7
|
9 Ratings",No Doubts Go For It . | The brand doesnt pay attention to the global size standard. Looks like they are drunk while making the product. For Powerlook 30” = 32”.,28 (In Stock); 30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock),
blue linen pants,BEVDAAS,Men Relaxed Mid-Rise Easy Wash Korean Pants,https://www.myntra.com/trousers/bevdaas/bevdaas-men-relaxed-mid-rise-easy-wash-korean-pants/35217418/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JUNE/27/TUJvyWhL_3326694a5288410d85136b9366450271.jpg",MRP ₹4665,₹1399,N/A,No reviews,30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock); 38 (In Stock),
blue linen pants,CAVALLO by Linen Club,Men Contemporary Slim Fit Opaque Casual Shirt,https://www.myntra.com/shirts/cavallo+by+linen+club/cavallo-by-linen-club-men-contemporary-slim-fit-opaque-casual-shirt/30189145/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30189145/2024/JULY/11/WazZ6wqI_fd575be6834c4c329853544036a206db.jpg",MRP ₹1999,₹899,N/A,Good colour,39 (In Stock); 40 (In Stock); 42 (In Stock); 44 (In Stock),
pink blazer for women,Hubberholme,Oversized Notched Lapel Single Breasted Blazer,https://www.myntra.com/blazers/hubberholme/hubberholme-oversized-notched-lapel-single-breasted-blazer/33413724/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/MARCH/29/aOrlzPUe_3e19bcf403b8480cab5d2e6b042c3c28.jpg",MRP ₹6699,₹2813,N/A,No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
pink blazer for women,FableStreet,Women Notched Lapel Collar Single-Breasted Formal Blazers,https://www.myntra.com/blazers/fablestreet/fablestreet-women-notched-lapel-collar-single-breasted-formal-blazers/33583513/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/APRIL/12/QkfeYfqG_95946ac153c54617bfadd36e3a6e7e06.jpg",MRP ₹5995,₹5095,N/A,The blazer does not looks value for money.. its very thin | Good fit,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
pink blazer for women,All About You Formals,Women Pink & Grey Single-Breasted Checked Casual Blazer,https://www.myntra.com/blazers/all+about+you+formals/all-about-you-formals-women-pink--grey-single-breasted-checked-casual-blazer/14230962/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14230962/2021/9/27/ed32543a-2592-42d0-8361-29ef5682705d1632725015476allaboutyouWomenPinkGreySingle-BreastedCheckedCasualBlazer3.jpg",MRP ₹4999,₹1499,"4.3
|
303 Ratings",Beautiful Blazer,S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
pink blazer for women,Cottinfab,Single-Breasted Semiformal Blazer,https://www.myntra.com/blazers/cottinfab/cottinfab-single-breasted-semiformal-blazer/30572471/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30572471/2024/8/29/44a6b360-358b-4a74-b35c-8ef8f20f988c1724905027882-Cottinfab-Women-Pink-Solid-Regular-Fit-Single-Breasted-Blaze-1.jpg",MRP ₹2699,₹1079,"3.8
|
66 Ratings",Nice blazer for girls,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock); 3XL (In Stock),
pink blazer for women,TAHVO,Slim Fit Single Breasted Blazer,https://www.myntra.com/blazers/tahvo/tahvo-slim-fit-single-breasted-blazer/28496694/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28496694/2024/3/26/424bd257-219a-4a8e-9c99-66584362f54c1711431747146Blazers1.jpg",MRP ₹5999,₹2939,"3.8
|
16 Ratings",Excellent wear,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock),
pink blazer for women,CHIC BY TOKYO TALKIES,Oversized Double Breasted Notched Lapel Collar Blazer,https://www.myntra.com/blazers/chic+by+tokyo+talkies/chic-by-tokyo-talkies-oversized-double-breasted-notched-lapel-collar-blazer/33419062/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/MARCH/31/oN9VLjk4_c2f26163fb894541850a41a8e49d0559.jpg",MRP ₹4399,₹1275,N/A,No reviews,"XS
Rs. 1275 (In Stock); S
Rs. 1439 (In Stock); M
Rs. 1275 (In Stock); L
Rs. 1275 (In Stock); XL
Rs. 1275 (In Stock); XXL
Rs. 1275 (In Stock)",
pink blazer for women,StyleCast,Pink Checked Notched Lapel Collar Double-Breasted Blazer,https://www.myntra.com/blazers/stylecast/stylecast-pink-checked-notched-lapel-collar-double-breasted-blazer/29093810/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/APRIL/23/CioOsXKL_e8b308df9bd6419081bdd4c0bbae6f41.jpg",MRP ₹3699,₹1775,"3.9
|
10 Ratings",Quality and fit 👌👌👌.. just nice ❤ | True to size !! For that perfect niche look !,S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
pink blazer for women,Cottinfab,Women Pink & White Cotton Striped Front Open Blazer,https://www.myntra.com/blazers/cottinfab/cottinfab-women-pink--white-cotton-striped-front-open-blazer/16193056/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16193056/2021/12/7/43934340-fc80-4c18-bad2-e29bf75164e21638872096023-Cottinfab-Women-Pink--White-Cotton-Striped-Front-Open-Blazer-1.jpg",MRP ₹2499,₹999,"4.2
|
388 Ratings",It’s more kind of attractive because of the color and I love it,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock); 3XL (In Stock),
pink blazer for women,Cottinfab,Striped Single-Breasted Pure Cotton Casual Blazer,https://www.myntra.com/blazers/cottinfab/cottinfab-striped-single-breasted-pure-cotton-casual-blazer/30572462/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30572462/2024/8/27/1ca2ff45-b503-4ea3-b301-4ec996623c291724754439729-Cottinfab-Pink-Striped-Pure-Cotton-Single-Breasted-Regular-F-1.jpg",MRP ₹2599,₹1039,"4
|
37 Ratings",Looks classy. Fabric is also cotton | Good,S (In Stock); L (In Stock); XL (In Stock); XXL (In Stock); 3XL (In Stock),
pink blazer for women,Golden Kite,Women Notched Lapel Single Breasted Formal Blazer,https://www.myntra.com/blazers/golden+kite/golden-kite-women-notched-lapel-single-breasted-formal-blazer/31132932/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/SEPTEMBER/27/sXb9JwJk_bf9557220c954f5fb78449f3cdd84af0.jpg",MRP ₹2699,₹1133,"4.5
|
6 Ratings",No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
yellow maxi dress,SHINISHA,Women Printed Puff Sleeve Fit & Flare Maxi Dress,https://www.myntra.com/dresses/shinisha/shinisha-women-printed-puff-sleeve-fit--flare-maxi-dress/32087244/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/32087244/2024/12/26/1ad74bc8-ac8a-47e7-af30-2201dae7c5481735156560776SHINISHAPrintPuffSleeveGeorgetteFitFlareMaxiDress1.jpg",MRP ₹3999,₹1199,"4.1
|
222 Ratings",Fabric nd fit is nice...I thought it was a combination of yellow n white but it's not😐it has nice pocket comfortable to wear in summers too❤️ | The fit is good and it also has a one side pocket. Loved the design too | The fabric is good and the dress looks good as well,S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock); 3XL (In Stock); 4XL (In Stock); 5XL (In Stock),
yellow maxi dress,aayu,Women Fit & Flare Lace-Up Maxi Dress,https://www.myntra.com/dresses/aayu/aayu-women--fit--flare-lace-up-maxi-dress/31419387/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2024/OCTOBER/25/edyuo8FK_f64e17f73ea74affb80569f40c303c45.jpg",MRP ₹3599,₹755,"4.2
|
559 Ratings",So beautiful and vibrant.... Feels like a dream.... Fits perfectly...,S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
yellow maxi dress,THE INDIAN ETHNIC CO,Yellow A-Line Dabu Slub Cotton Dress,https://www.myntra.com/dresses/the+indian+ethnic+co/the-indian-ethnic-co-yellow-a-line-dabu-slub-cotton-dress/32377038/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/17/BPYF3YLg_5dffbb9b31bd42ef8ee1281a4337872a.jpg",MRP,MRP₹ 4450,N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock); 3XL (In Stock); 4XL (In Stock); 5XL (In Stock); 6XL (In Stock),
yellow maxi dress,Sangria,Girls Self Design Fit & Flared Dress,https://www.myntra.com/dresses/sangria/sangria-girls-self-design-fit--flared-dress/32372218/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/17/CFuL5sOj_ed930a1eb53746b288500b936803c63f.jpg",MRP ₹3249,₹747,"3.5
|
13 Ratings",Nice | The color and design is same as pic. The frock has glitter too and it really looks amazing on anyone who wears it,3-4Y (In Stock); 5-6Y (In Stock); 6-7Y (In Stock); 7-8Y (In Stock); 8-9Y (In Stock); 10-11Y (In Stock); 12-13Y (In Stock); 14-15Y (In Stock),
yellow maxi dress,Vishudh,Womens Ethnic Motifs Printed Chanderi Anarkali With Dupatta Maxi Dress,https://www.myntra.com/dresses/vishudh/vishudh--womens-ethnic-motifs-printed-chanderi-anarkali-with-dupatta-maxi-dress/30824284/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/30824284/2024/9/13/1e27785c-c1fa-468b-b0fd-292a1143e38f1726188839892-Vishudh-Ethnic-Motifs-Print-A-Line-Maxi-Dress-14717261888395-1.jpg",MRP ₹4949,₹1286,"4.2
|
67 Ratings","The dupatta doesn't match the image. Also the bust size is not correct as it is suggesting. Apart from that, all good. | Very good quality and shinning thanku so much ♥️ | Beautiful kurta set.... Nice fabric. ...",S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
yellow maxi dress,THE PLUSH CLUB,Floral Print Maxi Dress,https://www.myntra.com/dresses/the+plush+club/the-plush-club-floral-print-maxi-dress/33042137/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/MARCH/4/avnBUgKu_6664146c4a6d42c3b0d97e5dfac4fb78.jpg",MRP,MRP₹ 1749,N/A,No reviews,6-12M (In Stock); 12-18M (In Stock); 18-24M (In Stock),
yellow maxi dress,YK,Polka Dot Print Peplum Maxi Dress,https://www.myntra.com/dresses/yk/yk-polka-dot-print-peplum-maxi-dress/32484377/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2025/JANUARY/24/MtKBPWJO_f1afa09149064ca19cf3ffe59119a7ec.jpg",MRP ₹999,₹499,"3.7
|
43 Ratings",Nice,12-18M (In Stock); 18-24M (In Stock); 2-3Y (In Stock),
yellow maxi dress,aayu,Self Design Shirt Collar Long Sleeves Gathered Accordion Pleated Georgette Maxi Dress,https://www.myntra.com/dresses/aayu/aayu-self-design-shirt-collar-long-sleeves-gathered-accordion-pleated-georgette-maxi-dress/28811578/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28811578/2024/4/9/acde8569-a361-46bd-be6f-128dccb0aa041712666477409aayuGeorgetteMaxiDress1.jpg",MRP ₹3999,₹759,"4.1
|
166 Ratings",I recently purchased this maxi dress and I'm absolutely thrilled with it. The dress is made of a lightweight and stylish. The length is perfect and v- neckline adds a touch f sophistication.,S (In Stock); M (In Stock); L (In Stock); XL (In Stock),
yellow maxi dress,FASHION DREAM,Yellow Ethnic Motifs Crepe Ethnic Maxi Dress,https://www.myntra.com/ethnic-dresses/fashion+dream/fashion-dream-yellow-ethnic-motifs-crepe-ethnic-maxi-dress/19419740/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/19419740/2022/8/6/127d8f25-a1b1-47ff-b36c-26947903fce21659800953039Dresses1.jpg",MRP ₹3499,₹728,"4
|
105 Ratings","This was my first time shopping on Myntra, and I couldn’t be happier! The entire process was smooth and hassle-free. I received all my products on time, and they are of excellent quality, just as described. Time-saving: Shopping online saved me so much time. Value for Money: The products were worth every penny! Quality: The best part is that the products matched the description perfectly and are of great quality. I will definitely be shopping on Myntra again. Highly recommended for anyone looking for quality and convenience! | The neck hole is too small and the chest has no opening so it is too tight to put on through the head and hands. | Good fabric and good fitting",5-6Y (In Stock); 7-8Y (In Stock); 9-10Y (In Stock); 11-12Y (In Stock); 13-14Y (In Stock),
yellow maxi dress,Nayo,Floral Print Maternity Maxi Dress,https://www.myntra.com/dresses/nayo/nayo-floral-print-maternity-maxi-dress/29650902/buy,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/29650902/2024/5/28/fa786083-9380-419f-ac77-8531725ec32a1716886806784-Nayo-Floral-Print-Maternity-Maxi-Dress-7801716886806331-1.jpg",MRP ₹2499,₹999,"4.2
|
396 Ratings",Very good pure cotton fabric.. first i thought it won't fit me as the bust size mentioned for 2xl is 44.. but it has extra space... Would buy more Nayo dresses | So comfortable and beautiful print ❤️❤️,M (In Stock); L (In Stock); XL (In Stock); XXL (In Stock),
