search_keyword,brand,name,product_url,image_url,original_price,discounted_price,rating,reviews,available_sizes
sneakers,Carlton London,Black Design Women Slip-On Sneakers,https://www.nykaafashion.com/carlton-london-black-design-women-slip-on-sneakers/p/14339211,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/d/0/d08e434CL-BI-Wn-03BLACK_1.jpg,"₹1,380","2,299",N/A,No reviews,EURO 36 (In Stock); EURO 37 (In Stock); EURO 38 (In Stock); EURO 39 (In Stock); EURO 40 (In Stock); EURO 41 (In Stock)
sneakers,Yoho,Kite Beige Sneakers for Men,https://www.nykaafashion.com/yoho-kite-beige-sneakers-for-men/p/17487478,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/d/d/dd9855eYohoYKSMC22M_1.jpg,₹975,"2,499",3.6,saij isu,UK 6 (In Stock); UK 7 (In Stock); UK 8 (In Stock); UK 9 (In Stock); UK 10 (In Stock); UK 11 (In Stock)
blue linen pants,Twenty Dresses by Nykaa Fashion,Sky Blue Solid Straight Fit Linen Pants,https://www.nykaafashion.com/twenty-dresses-by-nykaa-fashion-sky-blue-solid-straight-fit-pants/p/14366924,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/1/c/1c6e7bfBT011153_1.jpg,"₹1,148","2,295",N/A,No reviews,26 (In Stock); 28 (In Stock); 30 (In Stock); 32 (In Stock); 34 (In Stock)
blue linen pants,Creatures of Habit,Linen Wide Leg Pant Wildflower Blue,https://www.nykaafashion.com/creatures-of-habit-linen-wide-leg-pant-wildflower-blue/p/14852600,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/8/1/81db097COHW102PTWB_1.jpg,N/A,N/A,N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock); 2XL (In Stock); 3XL (In Stock)
blue linen pants,VERO MODA,Blue Linen Pants,https://www.nykaafashion.com/vero-moda-blue-linen-pants/p/19011202,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/8/a/8a7f5bbVMLPA901352701_1.jpg,"₹2,800","3,999",N/A,No reviews,XS (In Stock); S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
blue linen pants,Marks & Spencer,Navy Blue Linen Mix Plain Cropped Leg Trousers,https://www.nykaafashion.com/marks-spencer-navy-blue-linen-mix-plain-cropped-leg-trousers/p/18910329,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/c/6/c6dd927T577138KNAVY_1.jpg,"₹1,950","2,999",N/A,No reviews,26 (In Stock); 28 (In Stock); 30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock); 38 (In Stock); 40 (In Stock)
blue linen pants,Globus,Blue Solid Straight Fit Trouser,https://www.nykaafashion.com/globus-blue-solid-straight-fit-trouser/p/19246347,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/5/558a8e3WBWECOMLNNWIDE9374LIGHTBLUEBlue_1.jpg,"₹1,876","2,799",N/A,No reviews,28 (In Stock); 30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock)
blue linen pants,PCFG,Men Blue Linen Hidden Button Straight Fit Trousers,https://www.nykaafashion.com/pcfg-men-blue-linen-hidden-button-straight-fit-trousers/p/20334552,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/c/e/ce7d5dfPMS328-005_1.jpg,"₹37,560","62,599",N/A,No reviews,S (In Stock); M (In Stock); L (In Stock); XL (In Stock)
blue linen pants,AAREIN,Women Blue Linen Pleated Flared Trouser,https://www.nykaafashion.com/aarein-women-blue-linen-pleated-flared-trouser/p/19631946,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/5/5/555599aABW18404_1.jpg,₹900,"1,999",N/A,No reviews,26 (In Stock); 28 (In Stock); 30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock)
blue linen pants,FableStreet,Sky Blue Linen Mid Rise Straight Leg Trouser,https://www.nykaafashion.com/fablestreet-sky-blue-linen-mid-rise-straight-leg-trouser/p/20194162,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/0/8/08f1a40FSTR300BLUE_1.jpg,"₹3,644","3,795",N/A,No reviews,26 (In Stock); 28 (In Stock); 30 (In Stock); 32 (In Stock); 34 (In Stock); 36 (In Stock)
