search_term,brand_name,current_price,product_rating,product_title,original_price,sale_price,discount_percent,category_path,product_link,image_link,review_count,size_options
black dress,Angel & Rocket,Rs. 2024,N/A,Girls Floral Fit & Flare Dress,Rs. 2699,Rs. 2024,(25% OFF),Black Dress,https://www.myntra.com/dresses/angel+%26+rocket/angel--rocket-girls-floral-printed-flutter-sleeve-ruffled-fit--flare-dress/25510084/buy,N/A,N/A,N/A
black dress,KALINI,Rs. 649,"4
|
648",Abstract Printed Maxi Dress,Rs. 2499,Rs. 649,(Rs. 1850 OFF),Black Dress,https://www.myntra.com/dresses/kalini/kalini-abstract-printed-flutter-sleeves-maxi-dress/25496242/buy,N/A,"|
648",N/A
black dress,HOUSE OF MIRA,Rs. 773,"3.2
|
128",Floral Print Fit & Flare Midi Dress,Rs. 2577,Rs. 773,(70% OFF),Black Dress,https://www.myntra.com/dresses/house+of+mira/house-of-mira-floral-print-fit--flare-midi-dress/31771982/buy,N/A,"|
128",N/A
black dress,Virgio,N/A,"3.7
|
7",Women Formal Fit & Flare Dress,N/A,N/A,N/A,Black Dress,https://www.myntra.com/dresses/virgio/virgio-women-cotton-round-neck-midi-length-solid-sleeveless-dress/31459361/buy,N/A,"|
7",N/A
black dress,Boho By Athena,Rs. 1199,"4.4
|
274",Bohemian Maxi Dress,Rs. 2999,Rs. 1199,(60% OFF),Black Dress,https://www.myntra.com/dresses/boho+by+athena/boho-by-athena-bohemian-maxi-dress/30674693/buy,N/A,"|
274",N/A
black dress,DECKEDUP,Rs. 909,"3.5
|
178",Print Empire Dress,Rs. 2599,Rs. 909,(65% OFF),Black Dress,https://www.myntra.com/dresses/deckedup/deckedup-print-empire-dress/31769704/buy,N/A,"|
178",N/A
black dress,Angel & Rocket,Rs. 1874,N/A,Girls Fit & Flare Dress,Rs. 2499,Rs. 1874,(25% OFF),Black Dress,https://www.myntra.com/dresses/angel+%26+rocket/angel--rocket-girls-floral-printed-flutter-sleeves-ruffled-flounce-fit--flare-dress/25510094/buy,N/A,N/A,N/A
black dress,Mast & Harbour,Rs. 539,"4.2
|
112",A-Line Midi Dress,Rs. 1999,Rs. 539,(73% OFF),Black Dress,https://www.myntra.com/dresses/mast+%26+harbour/mast--harbour-a-line-midi-dress/32266833/buy,N/A,"|
112",N/A
black dress,Antheaa,Rs. 1295,"4.2
|
4.2k",Woman Floral Tiered Dress,Rs. 2699,Rs. 1295,(52% OFF),Black Dress,https://www.myntra.com/dresses/antheaa/antheaa-woman-floral-smocked-tiered-dress/20385520/buy,N/A,"|
4.2k",N/A
black dress,Juniors by Babyshop,Rs. 1349,N/A,Girls Cotton A-Line Dress,Rs. 1799,Rs. 1349,(25% OFF),Black Dress,https://www.myntra.com/dresses/juniors+by+babyshop/juniors-by-babyshop-girls-embroidered-cotton-a-line-dress/34476063/buy,N/A,N/A,N/A
black dress,Sangria,Rs. 1214,"4.3
|
640",Embroidered Fit & Flare Dress,Rs. 4499,Rs. 1214,(73% OFF),Black Dress,https://www.myntra.com/dresses/sangria/sangria-embroidered-fit--flare-dress/29897768/buy,N/A,"|
640",N/A
black dress,Miss & Chief,Rs. 419,N/A,Girl Checked Fit & Flare Dress,Rs. 1999,Rs. 419,(79% OFF),Black Dress,https://www.myntra.com/dresses/miss+%26+chief/miss--chief-girls-checked-print-fit--flare-dress/34757226/buy,N/A,N/A,N/A
black dress,Virgio,N/A,"5
|
7",Black Puff Sleeve Mini Dress,N/A,N/A,N/A,Black Dress,https://www.myntra.com/dresses/virgio/virgio-women-black-puff-sleeve-a-line-mini-dress/32857221/buy,N/A,"|
7",N/A
black dress,Globus,Rs. 1199,"4.4
|
54",Sequinned Sheath Party Dress,Rs. 2999,Rs. 1199,(Rs. 1800 OFF),Black Dress,https://www.myntra.com/dresses/globus/globus-women-black-front--back-v-neck-sequinned-sheath-party-dress/23027574/buy,N/A,"|
54",N/A
black dress,Mast & Harbour,Rs. 699,"4.3
|
240",Sheath Dress With Shrug,Rs. 2499,Rs. 699,(72% OFF),Black Dress,https://www.myntra.com/dresses/mast+%26+harbour/mast--harbour-sheath-dress-with-shrug/31715964/buy,N/A,"|
240",N/A
black dress,BAESD,Rs. 499,"3.7
|
37",Girls Fit & Flare Dress,Rs. 999,Rs. 499,(50% OFF),Black Dress,https://www.myntra.com/dresses/baesd/baesd-girls-sequence-work-one-shoulder-fit--flare-dress/32790547/buy,N/A,"|
37",N/A
black dress,PURVAJA,Rs. 649,"4.1
|
333",Women A-Line Midi Dress,Rs. 3399,Rs. 649,(Rs. 2750 OFF),Black Dress,https://www.myntra.com/dresses/purvaja/purvaja-solid-round-neck-cotton-fit--flare-midi-dress/33214886/buy,N/A,"|
333",N/A
black dress,MANOJAVA,Rs. 799,"3.8
|
378",Floral Printed Wrap Midi Dress,Rs. 2900,Rs. 799,(Rs. 2101 OFF),Black Dress,https://www.myntra.com/dresses/manojava/manojava-women-cotton-floral-printed-wrap-midi-dress/32093046/buy,N/A,"|
378",N/A
